להלן ניתוח האיכות של פלט המודל מול תשובת האמת (GT):

### ניתוח טקסטואלי

1.  **כותרות (רובד 1):**
    *   המודל יצר מבנה שונה במעט מה-GT (שלושה נושאים, אך בחלוקה אחרת).
    *   **נושא 1 (גובה > 20 אמה):** כותרת המודל ("האם נר שהונח...") תואמת לחלוטין לכותרת הראשונה ב-GT. (ציון 100).
    *   **נושא 2 (גובה לכתחילה):** כותרת המודל ("האם ישנה מצווה...") תואמת לחלוטין לכותרת השנייה ב-GT. (ציון 100).
    *   **נושא 3 (דין פנים הבית):** ב-GT זהו נושא נפרד. המודל שילב את הדעה המקלה (מרדכי) בתוך הנושא הכללי של גובה לכתחילה, אך השמיט את הדעה המחמירה ואת הכותרת הייעודית. הכותרת הכללית מכסה חלקית נושא זה. (ציון 50).
    *   ממוצע כותרות: 83.

2.  **קטגוריות (רובד 2):**
    *   המודל זיהה נכון 6 מתוך 7 הקטגוריות הקיימות ב-GT.
    *   **פספוס (FN):** בקטגוריית "דין פנים הבית", המודל הביא את דעת המרדכי (שאין צורך להקפיד), אך פספס את הקטגוריה הנגדית (דעת הטור והמנהג ש"עדיין יש צורך").
    *   לא היו המצאות (FP), כל הקטגוריות שזוהו תואמות ל-GT.

3.  **דעות ושרשראות (רובד 3):**
    *   **זיהויים מוצלחים (TP - 11):** המודל דייק ברוב השרשראות הבסיסיות (טור, ב"י>>רא"ש, ב"י>>סמ"ג/סמ"ק, רי"ף, רמב"ם) וכן בדעת מהר"ם (טור>>מאיר מרוטנבורק).
    *   **שגיאות מבניות (FP - 4):**
        *   **חוליות חסרות:** המודל כתב "בית יוסף >> הרשב"א" ו-"בית יוסף >> ה"ר יונה", בעוד שב-GT השרשרת עוברת דרך הר"ן ("בית יוסף>>ר"ן>>רשבא/יונה").
        *   **חוליה מיותרת:** המודל כתב "בית יוסף >> מרדכי", בעוד ב-GT המקור הוא ישירות "מרדכי".
        *   **כפילות:** המודל פיצל את דברי הטור (בנושא מעל 20 אמה) לשני סעיפים נפרדים, מה שיוצר שרשרת "טור" נוספת שאינה ב-GT (נחשב FP).
    *   **פספוסים (FN - 5):** מעבר לשרשראות השגויות שהוזכרו לעיל (שהגרסה הנכונה שלהן חסרה), המודל השמיט את "ב"י>>רא"ש>>ר"ח" ואת סיכום ה"בית יוסף" עצמו ("הילכך..."). כמו כן, חסרות השרשראות השייכות לקטגוריה החסרה (מנהג המדקדקים/טור בנושא פנים הבית), אך אלו משוקללות בציון ה-FN של רובד זה רק אם הקטגוריה הייתה מזוהה (בחישוב כאן נספרו הפספוסים בתוך הקטגוריות שזוהו, כולל שרשרת המרדכי הנכונה שלא הופיעה).

**חישוב ציונים סופי:**
*   **כותרת:** ממוצע (100+100+50) / 3 = 83.
*   **דיוק קטגוריות:** 6 (נכונות) / 6 (סה"כ שזוהו) = 100%.
*   **כיסוי קטגוריות:** 6 (נכונות) / 7 (קיימות ב-GT) = 86%.
*   **דיוק דעות:** 11 (TP) / 15 (11 TP + 4 FP) = 73%.
*   **כיסוי דעות:** 11 (TP) / 16 (סה"כ שרשראות בקטגוריות הרלוונטיות ב-GT) = 69%.

[83, 100, 86, 73, 69]
