הנה ניתוח האיכות של פלט המודל ביחס ל-Ground Truth:

**ניתוח טקסטואלי:**

1.  **כותרות (נושאים):**
    *   ה-GT עוסק בשני נושאים ראשיים: (1) בשר לפני גבינה, ו-(2) גבינה לפני בשר.
    *   המודל זיהה היטב את הנושא הראשון ("כמה זמן צריך להמתין בין אכילת בשר לגבינה"), אך התעלם לחלוטין מהנושא השני ("האוכל גבינה... לפני אכילת בשר").
    *   בנוסף, המודל הוסיף נושא שלא קיים ככותרת נפרדת ב-GT ("בשר עוף"), מה שמעיד על הזיה (Hallucination) ברמת מבנה הטקסט.
    *   ציון כותרת משוקלל: 50 (100 על הנושא הראשון, 0 על השני).

2.  **קטגוריות (שיטות הלכתיות):**
    *   **פספוסים (FN):** המודל החמיץ את שיטת "קינוח ונטילה" (בה"ג) בנושא הראשון, ואת כל השיטות הקשורות לנושא השני (גבינה לפני בשר).
    *   **זיהויים (TP):** המודל זיהה את שיטת ההמתנה (איחד את "בוקר עד ערב" ו-"6 שעות" לקטגוריה אחת - יתקבל כזיהוי סמנטי כפול) ואת שיטת "סילוק וברכה".
    *   **הזיות (FP):** קטגוריית "בשר עוף" נחשבת כ-FP (אם כי תוכנה נכון עובדתית, היא לא קיימת ב-GT כקטגוריה בפני עצמה אלא כפרט, ובבדיקה זו אנו נצמדים ל-GT).

3.  **דעות ושרשראות (Opinions):**
    *   בקטגוריית "סילוק וברכה": המודל דייק ב-4 השרשראות הקיימות, אך הוסיף 2 שרשראות נוספות (הגה"מ>>ר"ת, הגה"מ>>ה"ג) שאינן ב-GT (נחשב FP).
    *   בקטגוריית ההמתנה: המודל הציג שרשראות עם ליקויים מבניים (Structural Defects). למשל, "טור" לבד במקום "טור>>רא"ש>>מנהג", או "ב"י>>רשב"א" במקום "ב"י>>הגה"מ>>רשב"א". השמטת חוליות ביניים נחשבת כשגיאה (FP על השרשרת השגויה, FN על החסרה).
    *   שרשראות בתוך קטגוריית "בשר עוף" לא נבדקו, כיוון שהקטגוריה כולה שגויה (FP).

**חישוב הציונים:**

*   **כותרת:** ממוצע של 100 (נושא 1) ו-0 (נושא 2) = **50**.
*   **קטגוריות:**
    *   TP = 3 (המתנה 6 שעות, המתנה בוקר-ערב, סילוק וברכה).
    *   FP = 1 (עוף).
    *   FN = 3 (קינוח ונטילה [בשר->גבינה], כלום [גבינה->בשר], קינוח [גבינה->בשר]).
    *   Precision = 3 / 4 = 75%.
    *   Recall = 3 / 6 = 50%.
*   **דעות:**
    *   TP = 7 (4 בקטגוריית סילוק, 3 בקטגוריית המתנה: ב"י>>רי"ף, ב"י>>רא"ש, ב"י>>הג"ה>>רמב"ם).
    *   FP = 5 (3 שרשראות שבורות בקטגוריית המתנה + 2 שרשראות מיותרות בקטגוריית סילוק).
    *   FN = 3 (השרשראות המקוריות המלאות שהמודל שבר בקטגוריית ההמתנה).
    *   Precision = 7 / 12 = 58%.
    *   Recall = 7 / 10 = 70%.

[50, 75, 50, 58, 70]
