להלן ניתוח האיכות של פלט המודל מול תשובת האמת (GT):

### ניתוח טקסטואלי

1.  **כותרות (רובד 1):**
    *   המודל זיהה היטב את שתי הכותרות המופיעות ב-GT ("כמה נרות" ו"קערת שמן") וניסח אותן בצורה סמנטית זהה (ציון 100 לשתיהן).
    *   הערה: המודל כלל מחלוקת נוספת ("נר בעל שתי פיות") שאינה מופיעה ב-GT. לצורך חישוב ממוצע הכותרות, נלקחו בחשבון רק הכותרות ברות-ההשוואה. החלק העודף ייענש במדדי ה-Precision ברבדים הבאים.

2.  **קטגוריות (רובד 2):**
    *   **TP (זיהוי מוצלח):** המודל זיהה את כל 5 הקטגוריות הקיימות ב-GT (2 במחלוקת הנרות ו-3 במחלוקת הקערה). שימו לב שקטגוריית ה"ניואנס" (עובי הפתילה) זוהתה סמנטית נכון, גם אם התוכן בתוכה היה דליל.
    *   **FP (עודף):** המודל הוסיף מחלוקת שלמה ("נר בעל שתי פיות") המכילה 2 קטגוריות שאינן ב-GT.
    *   **FN (חסר):** אין (כל הקטגוריות ב-GT כוסו).

3.  **דעות ושרשראות (רובד 3):**
    *   **TP (שרשראות תקינות):**
        *   במחלוקת הנרות: המודל דייק ב-4 השרשראות (רמב"ם, טור, תוספות, מנהג).
        *   במחלוקת הקערה: דייק ב"טור>>רא"ש" (בקטגוריית המרחק) וב"טור" (בקטגוריית הכיסוי). סה"כ 6 TP.
    *   **FP (שגיאות/תוספות):**
        *   **שיוך שגוי:** המודל מיקם את דעות "הר"ן" ו"שבלי הלקט" בקטגוריה של "מרחק כללי" (Cat B) במקום בקטגוריה של "ניואנס עובי הפתילה" (Cat C). זו שגיאה כפולה: הן נחשבות FP בקטגוריה בה הופיעו, וחסרות (FN) בקטגוריה הנכונה.
        *   **חוסר דיוק מבני:** בקטגוריית הניואנס, המודל כתב רק "בית יוסף" באופן כללי, בעוד ה-GT דרש שרשראות ספציפיות (ב"י>>ר"ן, ב"י>>שבלי הלקט). השרשרת הכללית נחשבת FP.
        *   **תוספות:** המודל הוסיף "בית יוסף" בקטגוריית הכיסוי (לא קיים ב-GT) וכן את כל הדעות במחלוקת העודפת על שתי הפיות (2 שרשראות). סה"כ 6 FP.
    *   **FN (פספוסים):**
        *   חסרות 3 השרשראות המלאות בקטגוריית הניואנס (ב"י>>ר"ן, ב"י>>שבלי הלקט, ב"י>>רא"ש).

**סיכום נתונים לחישוב:**
*   **כותרת:** 100.
*   **קטגוריות:** 5 TP, 2 FP (הנוספות), 0 FN. -> דיוק: 71%, כיסוי: 100%.
*   **דעות:** 6 TP, 6 FP, 3 FN. -> דיוק: 50%, כיסוי: 67%.

[100, 71, 100, 50, 67]
