ניתוח השוואתי בין פלט המודל ל-Ground Truth (GT):

1.  **כותרות (Headlines):**
    *   ב-GT קיימים שני נושאים: "סוף זמן הדלקת נרות" ו-"תחילת זמן הדלקת נרות".
    *   המודל הציג שני נושאים: "מתי חל זמן הדלקת נרות" (מקביל ל"תחילת זמן") ו-"מי ששכח להדליק" (נושא שלא קיים ב-GT).
    *   **ציון:** המודל קיבל 100 על הנושא הראשון (כיסוי "תחילת זמן") ו-0 על הנושא השני ("סוף זמן") שהוחמץ לחלוטין. ממוצע: **50**.

2.  **קטגוריות (Categories):**
    *   **TP (זוהו נכון):** 2 קטגוריות. בנושא "תחילת זמן", המודל זיהה את שיטת "בשקיעה בדיוק" (לא מקדימים) ואת שיטת "עיקר המצווה בשקיעה אך מותר להקדים".
    *   **FN (פספוסים):** 4 קטגוריות. המודל החמיץ את כל 4 הקטגוריות הקשורות ל"סוף זמן הדלקת נרות" (עד חצי שעה, עד שתכלה רגל, בעוד בני הבית ערים, כל הלילה).
    *   **FP (המצאות):** 3 קטגוריות. המודל הוסיף קטגוריה אחת בנושא הזמן ("מסוף השקיעה") שלא קיימת ב-GT המקביל, ועוד 2 קטגוריות בנושא "שכח להדליק" שהומצא כולו.
    *   **חישוב:** דיוק = 2/5 (40%), כיסוי = 2/6 (33%).

3.  **דעות / שרשראות (Chains):**
    *   הבדיקה נעשית רק בתוך 2 הקטגוריות שזוהו כ-TP (בנושא תחילת זמן).
    *   **בקטגוריה "זמן ההדלקה בשקיעה בדיוק":**
        *   ב-GT: "בית יוסף>>הר"ן>>בה"ג".
        *   במודל: "בית יוסף>>בעל הלכות גדולות" (חסרה חוליית "הר"ן" - שגיאה מבנית FP), וכן "בית יוסף>>רמב"ם" (מקור שלא קיים בקטגוריה ב-GT - FP). השרשרת המקורית נחשבת FN.
    *   **בקטגוריה "עיקר המצווה בשקיעה, אך מותר להקדים":**
        *   ב-GT: "בית יוסף>>ר"ן".
        *   במודל: "בית יוסף>>ר"ן". (זיהוי מושלם - TP).
    *   **סיכום דעות:** TP=1, FP=2, FN=1.
    *   **חישוב:** דיוק = 1/3 (33%), כיסוי = 1/2 (50%).

[50, 40, 33, 33, 50]
